genero,ano_ingresso,ieg,ida,atingiu_pv,ipv,ian,ano,ipp,matematica,portugues,defasagem,tipo_estudante,piorou_defasagem
feminino,2023,8.7,5.4,nao,7.62,10.0,2023,7.083333333,4.0,6.7,0.0,ingressante,True
masculino,2023,9.8,7.6,nao,8.673333333,5.0,2023,7.96875,6.2,9.0,-1.0,ingressante,False
feminino,2016,8.0,7.4,sim,8.375,5.0,2022,7.770833333400001,7.8,7.2,-1.0,veterano,False
feminino,2016,9.1,7.3,nao,7.5075,10.0,2023,7.03125,6.7,6.8,0.0,veterano,False
masculino,2023,8.6,5.7,nao,8.673333333,5.0,2023,7.96875,4.3,7.0,-1.0,ingressante,False
masculino,2023,9.7,9.3,nao,8.836666667,5.0,2023,8.75,8.8,9.7,-1.0,ingressante,False
masculino,2023,7.7,6.2,nao,8.503333333,10.0,2023,8.59375,4.8,7.5,0.0,ingressante,True
masculino,2023,9.5,5.9,nao,7.89,5.0,2023,6.40625,4.7,7.0,-1.0,ingressante,False
masculino,2023,9.8,8.6,nao,8.84,5.0,2023,9.375,8.3,8.8,-1.0,ingressante,False
feminino,2023,9.6,7.0,nao,8.84,5.0,2023,8.4375,7.7,6.3,-1.0,ingressante,False
feminino,2023,6.6,6.2,nao,8.783333333,5.0,2023,8.4375,4.2,8.2,-1.0,ingressante,False
masculino,2023,7.9,5.4,nao,9.006666667,5.0,2023,8.28125,4.5,6.3,-1.0,ingressante,False
masculino,2023,9.3,9.0,sim,9.283333333,5.0,2023,9.166666667,8.3,9.7,-1.0,ingressante,False
masculino,2023,7.8,7.1,nao,8.226666667,5.0,2023,8.125,7.5,6.7,-1.0,ingressante,False
feminino,2018,6.4,4.6,nao,6.5,5.0,2022,7.1,3.3,4.3,-1.0,veterano,False
feminino,2018,8.5,7.0,nao,7.5875,10.0,2023,7.34375,6.0,5.2,0.0,veterano,True
masculino,2023,7.8,5.8,nao,8.67,5.0,2023,7.708333333,5.3,6.3,-1.0,ingressante,False
masculino,2023,8.6,3.5,nao,6.396666667,5.0,2023,5.625,1.7,5.3,-1.0,ingressante,False
masculino,2023,8.6,6.7,nao,8.7125,10.0,2023,8.125,5.2,8.2,0.0,ingressante,False
feminino,2023,8.8,6.2,nao,9.045,5.0,2023,8.333333333,4.8,7.5,-1.0,ingressante,False
feminino,2023,9.6,5.5,nao,9.0025,5.0,2023,7.708333333,5.0,6.0,-1.0,ingressante,False
feminino,2023,9.7,8.5,nao,8.8775,5.0,2023,8.333333333,9.0,8.0,-1.0,ingressante,False
masculino,2023,9.7,7.3,nao,8.4225,10.0,2023,8.75,6.8,7.8,0.0,ingressante,False
masculino,2023,8.1,7.6,nao,7.13,5.0,2023,7.083333333,7.3,7.8,-1.0,ingressante,False
feminino,2019,7.7,5.0,nao,6.125,2.5,2022,6.6875,3.0,5.8,-3.0,veterano,False
feminino,2023,10.0,6.5,nao,8.59,5.0,2023,8.958333333,8.0,5.0,-2.0,ingressante,False
feminino,2023,9.5,5.0,nao,8.4225,5.0,2023,8.75,3.5,6.5,-1.0,ingressante,False
feminino,2023,10.0,6.8,nao,8.38,10.0,2023,8.75,5.0,8.5,0.0,ingressante,False
feminino,2023,9.5,5.4,nao,8.0475,5.0,2023,8.75,3.7,7.0,-1.0,ingressante,False
feminino,2023,9.5,7.0,nao,8.3375,10.0,2023,8.75,6.0,8.0,0.0,ingressante,False
masculino,2021,10.0,8.4,sim,8.667,5.0,2022,8.1354166666,7.8,7.5,-2.0,veterano,False
masculino,2023,9.6,9.0,nao,7.88,5.0,2023,8.958333333,8.7,9.3,-1.0,ingressante,False
masculino,2023,9.3,9.2,nao,8.2975,10.0,2023,8.958333333,9.3,9.0,0.0,ingressante,False
feminino,2023,9.5,8.5,nao,8.3375,10.0,2023,8.75,7.8,9.2,0.0,ingressante,False
masculino,2023,9.8,5.3,nao,8.005,5.0,2023,8.75,5.8,4.7,-1.0,ingressante,False
feminino,2023,9.9,9.6,nao,8.0875,10.0,2023,8.958333333,9.5,9.7,0.0,ingressante,False
masculino,2023,8.6,5.4,nao,6.96,5.0,2023,8.125,4.3,6.5,-2.0,ingressante,False
feminino,2023,9.5,6.4,nao,7.92,5.0,2023,8.125,6.3,6.5,-1.0,ingressante,False
feminino,2023,9.6,5.2,nao,8.34,5.0,2023,8.333333333,5.7,4.7,-1.0,ingressante,False
masculino,2017,9.7,6.7,nao,8.0,10.0,2022,7.9375,8.3,5.7,0.0,veterano,False
masculino,2017,8.6,7.5,nao,8.2975,10.0,2023,8.75,8.3,6.2,0.0,veterano,False
masculino,2023,9.2,7.1,nao,8.283333333,10.0,2023,8.541666667,6.3,7.8,0.0,ingressante,False
masculino,2023,9.5,7.5,nao,7.56,10.0,2023,7.708333333,5.7,9.2,0.0,ingressante,False
masculino,2023,8.7,5.0,nao,8.006666667,10.0,2023,8.333333333,4.5,5.5,0.0,ingressante,False
masculino,2023,9.3,5.1,nao,8.003333333,5.0,2023,8.333333333,5.2,5.0,-1.0,ingressante,False
feminino,2023,9.4,7.5,nao,8.783333333,5.0,2023,8.958333333,8.0,7.0,-1.0,ingressante,False
masculino,2023,9.3,4.7,nao,8.283333333,5.0,2023,8.541666667,3.7,5.7,-1.0,ingressante,False
feminino,2020,9.4,8.0,sim,8.667,10.0,2022,8.395833333199999,6.7,7.5,1.0,veterano,False
feminino,2020,8.7,6.0,nao,8.0875,10.0,2023,7.65625,6.0,5.2,1.0,veterano,True
feminino,2023,8.9,5.4,nao,8.173333333,10.0,2023,8.125,4.8,6.0,0.0,ingressante,False
masculino,2023,7.9,6.3,nao,8.616666667,5.0,2023,8.333333333,5.2,7.3,-1.0,ingressante,False
feminino,2023,9.8,4.9,nao,8.56,10.0,2023,8.125,4.3,5.5,0.0,ingressante,False
feminino,2023,8.3,4.0,nao,7.56,10.0,2023,7.5,6.0,2.0,0.0,ingressante,False
masculino,2023,9.2,4.9,nao,7.39,5.0,2023,7.083333333,3.8,6.0,-1.0,ingressante,False
feminino,2023,9.6,7.3,nao,7.946666667,10.0,2023,7.708333333,6.0,8.5,0.0,ingressante,False
feminino,2023,8.8,6.0,nao,8.28,5.0,2023,7.708333333,4.8,7.2,-1.0,ingressante,False
feminino,2023,9.7,5.9,nao,8.453333333,5.0,2023,7.708333333,3.0,8.8,-1.0,ingressante,False
feminino,2016,7.8,8.5,sim,8.833,5.0,2022,7.84375,9.0,7.5,-1.0,veterano,False
feminino,2016,8.1,7.4,nao,7.9225,5.0,2023,7.96875,7.3,6.5,-1.0,veterano,False
masculino,2023,9.9,8.0,sim,9.84,10.0,2023,8.75,6.5,9.5,0.0,ingressante,False
masculino,2023,9.3,6.9,nao,8.616666667,10.0,2023,7.291666667,5.2,8.5,0.0,ingressante,False
feminino,2023,9.9,6.9,nao,9.01,10.0,2023,8.125,5.0,8.7,0.0,ingressante,False
masculino,2023,9.2,7.8,nao,7.503333333,10.0,2023,7.916666667,6.8,8.7,0.0,ingressante,False
feminino,2017,0.0,3.7,nao,3.792,5.0,2022,6.2541666666,3.3,5.5,-1.0,veterano,False
masculino,2023,8.4,7.3,nao,7.503333333,10.0,2023,7.708333333,6.3,8.2,0.0,ingressante,False
feminino,2023,9.9,9.1,nao,9.286666667,5.0,2023,8.75,8.3,9.8,-1.0,ingressante,False
feminino,2023,10.0,6.5,nao,9.343333333,10.0,2023,8.541666667,5.0,8.0,0.0,ingressante,False
masculino,2023,9.7,6.8,nao,7.56,10.0,2023,7.916666667,5.5,8.0,0.0,ingressante,False
feminino,2023,8.1,6.6,nao,7.723333333,5.0,2023,8.333333333,4.8,8.3,-1.0,ingressante,False
feminino,2023,9.8,6.5,sim,9.843333333,10.0,2023,9.375,6.0,7.0,0.0,ingressante,False
masculino,2023,9.1,5.3,nao,7.79,10.0,2023,8.125,6.3,4.3,0.0,ingressante,False
masculino,2022,6.3,5.3,nao,5.0,5.0,2022,6.975,6.0,4.5,-2.0,ingressante,False
feminino,2023,8.7,7.3,nao,7.62,10.0,2023,7.708333333,8.5,6.0,0.0,ingressante,False
feminino,2023,8.8,5.9,nao,7.113333333,5.0,2023,7.708333333,5.5,6.2,-1.0,ingressante,False
feminino,2023,10.0,10.0,nao,8.343333333,10.0,2023,8.541666667,10.0,10.0,0.0,ingressante,False
feminino,2023,7.0,5.3,nao,6.2075,5.0,2023,7.5,6.0,6.3,-2.0,ingressante,True
feminino,2023,8.8,3.7,nao,6.965,5.0,2023,7.1875,5.0,3.3,-1.0,ingressante,True
feminino,2023,8.3,6.7,nao,7.0075,5.0,2023,7.1875,5.0,7.5,-1.0,ingressante,False
feminino,2023,9.8,7.2,nao,8.1725,5.0,2023,7.96875,6.0,6.8,-1.0,ingressante,False
feminino,2019,6.8,3.8,nao,5.583,5.0,2022,6.708333333400001,3.0,5.7,-2.0,veterano,False
feminino,2019,7.1,4.2,nao,7.215,5.0,2023,7.34375,3.7,3.8,-1.0,veterano,True
masculino,2023,9.8,6.7,nao,7.835,2.5,2023,7.96875,7.0,6.5,-3.0,ingressante,False
feminino,2023,9.5,8.3,nao,7.545,10.0,2023,7.65625,7.3,8.8,0.0,ingressante,False
feminino,2023,10.0,7.2,nao,8.63,5.0,2023,7.65625,6.7,7.8,-1.0,ingressante,False
masculino,2023,9.3,5.1,nao,7.67,10.0,2023,7.65625,5.3,5.0,0.0,ingressante,True
feminino,2023,9.2,8.0,nao,8.2925,5.0,2023,7.5,6.7,8.2,-1.0,ingressante,False
feminino,2023,9.2,5.3,nao,7.7925,10.0,2023,7.96875,6.2,6.0,0.0,ingressante,False
masculino,2023,8.8,5.7,nao,7.0025,5.0,2023,7.5,5.0,6.3,-1.0,ingressante,False
feminino,2019,8.1,5.9,nao,7.792,5.0,2022,7.229166666599999,5.0,7.2,-2.0,veterano,False
feminino,2019,7.6,4.7,nao,7.5475,5.0,2023,7.96875,2.3,5.0,-2.0,veterano,False
masculino,2023,8.7,2.7,nao,7.2575,10.0,2023,6.875,4.8,2.7,0.0,ingressante,True
feminino,2023,8.5,6.0,nao,7.7525,10.0,2023,7.8125,7.3,5.5,0.0,ingressante,False
masculino,2023,9.3,7.2,nao,7.75,5.0,2023,7.65625,7.0,6.7,-1.0,ingressante,False
feminino,2023,9.1,7.3,nao,7.2925,10.0,2023,7.1875,7.0,6.0,0.0,ingressante,False
feminino,2023,9.6,4.8,nao,7.9175,5.0,2023,7.65625,5.3,2.8,-2.0,ingressante,False
feminino,2023,8.8,3.5,nao,7.045,10.0,2023,7.65625,5.0,2.0,0.0,ingressante,True
feminino,2023,9.5,6.3,nao,8.0025,5.0,2023,7.03125,6.8,7.3,-1.0,ingressante,False
masculino,2023,7.7,5.9,nao,6.5775,5.0,2023,7.1875,6.0,6.8,-1.0,ingressante,True
masculino,2023,8.4,8.7,nao,8.88,5.0,2023,8.75,7.3,9.0,-1.0,ingressante,False
feminino,2023,7.8,6.7,nao,8.46,5.0,2023,8.59375,6.0,5.7,-2.0,ingressante,False
masculino,2023,9.7,6.0,nao,8.1225,10.0,2023,7.8125,7.0,5.0,0.0,ingressante,False
feminino,2023,8.7,6.8,nao,8.3375,5.0,2023,8.90625,6.5,7.2,-1.0,ingressante,False
masculino,2023,9.3,8.2,nao,9.17,10.0,2023,9.6875,8.0,7.8,1.0,ingressante,False
feminino,2023,9.9,7.2,nao,8.88,10.0,2023,8.90625,7.0,6.7,0.0,ingressante,False
masculino,2023,9.3,5.7,nao,8.2125,5.0,2023,7.96875,6.3,4.5,-2.0,ingressante,False
feminino,2023,8.3,4.8,nao,7.3375,10.0,2023,7.5,5.7,4.3,0.0,ingressante,False
masculino,2023,8.3,7.3,nao,8.045,5.0,2023,8.125,8.0,5.5,-2.0,ingressante,False
feminino,2023,9.4,6.4,nao,7.5875,5.0,2023,7.8125,6.5,7.5,-1.0,ingressante,False
feminino,2023,9.0,6.1,nao,7.3775,5.0,2023,7.8125,6.3,5.7,-1.0,ingressante,False
feminino,2016,8.2,5.4,nao,7.875,10.0,2022,7.385416666599999,5.7,7.0,0.0,veterano,False
feminino,2023,7.8,4.1,nao,7.13,10.0,2023,7.1875,3.7,3.5,0.0,ingressante,True
feminino,2022,8.3,5.4,nao,8.0025,2.5,2023,8.28125,4.3,4.7,-3.0,veterano,False
feminino,2023,9.4,6.7,nao,7.9625,5.0,2023,7.5,7.3,3.7,-1.0,ingressante,False
masculino,2023,9.1,6.2,nao,8.0875,5.0,2023,6.875,6.8,5.0,-2.0,ingressante,False
feminino,2020,4.0,1.5,nao,6.389,10.0,2022,6.80625,2.7,1.1,0.0,veterano,False
feminino,2023,6.4,4.0,nao,6.8725,10.0,2023,7.5,4.3,2.3,0.0,ingressante,True
masculino,2023,9.6,7.8,nao,8.7575,10.0,2023,8.59375,8.3,6.5,0.0,ingressante,True
feminino,2023,10.0,7.2,nao,7.8775,5.0,2023,7.96875,6.7,5.8,-1.0,ingressante,False
feminino,2023,9.0,5.5,nao,7.63,10.0,2023,7.8125,5.0,4.0,0.0,ingressante,True
feminino,2021,8.4,7.2,nao,7.625,5.0,2022,7.5729166668,5.7,6.8,-2.0,veterano,False
feminino,2021,8.8,6.0,nao,7.4625,5.0,2023,7.34375,5.0,5.7,-1.0,veterano,True
feminino,2023,9.4,4.7,nao,8.09,5.0,2023,7.8125,5.0,2.0,-1.0,ingressante,False
masculino,2023,9.8,7.4,nao,7.6725,10.0,2023,7.5,8.0,5.0,0.0,ingressante,False
feminino,2023,9.0,7.9,nao,7.795,5.0,2023,7.5,8.7,5.3,-2.0,ingressante,False
feminino,2023,9.0,6.8,nao,7.63,5.0,2023,7.8125,8.8,5.3,-1.0,ingressante,False
feminino,2023,9.1,8.7,nao,8.09,5.0,2023,8.0,8.2,8.0,-1.0,ingressante,False
masculino,2023,9.4,8.0,nao,7.6325,5.0,2023,7.125,8.2,6.3,-1.0,ingressante,False
masculino,2017,8.6,6.5,nao,7.292,5.0,2022,7.010416666599999,7.3,6.3,-2.0,veterano,False
masculino,2017,9.4,5.7,nao,6.8375,5.0,2023,6.875,5.0,5.3,-2.0,veterano,False
feminino,2022,8.5,7.1,nao,7.75,5.0,2022,7.53125,5.0,7.2,-1.0,ingressante,False
feminino,2022,7.7,5.8,nao,7.835,5.0,2023,8.125,3.3,5.8,-1.0,veterano,False
feminino,2022,8.7,7.9,nao,8.125,10.0,2022,8.0,7.7,7.7,0.0,ingressante,False
feminino,2022,7.8,6.4,nao,8.6725,10.0,2023,8.4375,4.7,6.3,0.0,veterano,False
masculino,2019,6.2,5.6,nao,6.167,5.0,2022,6.15625,6.7,6.8,-1.0,veterano,False
masculino,2016,7.4,4.7,nao,8.056,5.0,2022,7.625,3.5,5.5,-1.0,veterano,False
feminino,2016,9.0,5.6,nao,7.75,5.0,2022,6.8125,6.0,6.5,-1.0,veterano,False
feminino,2016,7.8,2.2,nao,6.8,5.0,2023,7.65625,0.0,3.0,-1.0,veterano,True
feminino,2019,8.8,7.7,sim,8.458,10.0,2022,7.9354166666,6.5,7.5,0.0,veterano,False
feminino,2019,8.7,6.5,nao,7.715,10.0,2023,7.65625,6.3,6.5,0.0,veterano,False
feminino,2016,7.1,5.6,nao,7.625,5.0,2022,7.6145833332,4.7,7.2,-1.0,veterano,False
feminino,2016,8.9,7.3,nao,7.792,2.5,2022,7.333333333400001,6.0,7.3,-3.0,veterano,False
feminino,2016,6.3,6.0,nao,6.88,5.0,2023,6.40625,7.3,4.5,-2.0,veterano,False
masculino,2016,8.0,5.6,nao,6.375,5.0,2022,7.4625,5.0,6.5,-1.0,veterano,True
masculino,2016,7.9,4.3,nao,7.4175,5.0,2023,7.34375,4.0,3.7,-2.0,veterano,False
masculino,2022,8.3,4.0,nao,7.75,5.0,2022,7.083333333400001,8.0,0.0,-1.0,ingressante,False
masculino,2017,8.2,5.7,nao,5.917,10.0,2022,7.479166666599999,5.8,6.2,0.0,veterano,True
masculino,2019,9.9,7.9,sim,9.5,10.0,2022,8.09375,9.7,7.7,1.0,veterano,False
masculino,2019,9.6,6.5,nao,8.3375,10.0,2023,8.28125,9.2,5.0,1.0,veterano,False
feminino,2017,9.3,7.9,nao,8.292,10.0,2022,7.791666666599999,7.5,7.2,0.0,veterano,False
masculino,2017,6.3,5.2,nao,7.25,5.0,2022,6.9333333334,3.0,4.8,-2.0,veterano,True
feminino,2022,9.2,7.9,nao,8.208,5.0,2022,7.71875,6.3,7.3,-1.0,ingressante,False
feminino,2022,9.5,7.9,nao,8.2125,5.0,2023,8.4375,7.8,5.8,-1.0,veterano,True
feminino,2022,7.7,6.1,nao,7.25,10.0,2022,7.78125,5.8,4.8,0.0,ingressante,True
feminino,2022,7.0,4.5,nao,7.46,5.0,2023,6.875,5.0,6.0,-1.0,veterano,False
feminino,2022,6.5,5.0,nao,6.125,5.0,2022,6.975,4.0,6.0,-1.0,ingressante,True
feminino,2022,4.2,4.7,nao,7.2925,5.0,2023,7.5,5.7,3.5,-2.0,veterano,False
feminino,2020,7.5,8.3,nao,7.958,5.0,2022,7.775,7.3,8.0,-2.0,veterano,False
feminino,2022,7.0,6.5,nao,6.292,5.0,2022,7.635416666599999,4.0,7.0,-2.0,ingressante,False
feminino,2022,7.7,4.5,nao,7.71,5.0,2023,7.8125,4.0,5.0,-2.0,veterano,False
feminino,2018,8.2,6.6,nao,7.708,10.0,2022,7.6875,3.3,7.7,0.0,veterano,False
feminino,2018,7.4,6.4,nao,7.71,10.0,2023,8.125,6.0,5.3,0.0,veterano,False
masculino,2022,8.3,5.2,nao,6.833,5.0,2022,7.583333333400001,4.3,6.8,-2.0,ingressante,False
masculino,2022,8.1,4.4,nao,6.5875,5.0,2023,7.03125,5.3,2.8,-2.0,veterano,False
feminino,2018,10.0,7.7,nao,8.292,10.0,2022,8.4166666666,7.0,7.5,1.0,veterano,False
feminino,2018,9.9,6.8,nao,8.63,10.0,2023,8.59375,6.0,6.8,2.0,veterano,True
feminino,2017,9.8,6.6,nao,8.125,2.5,2022,7.177083333400001,5.0,6.7,-3.0,veterano,False
feminino,2017,9.0,6.0,nao,7.545,10.0,2023,8.28125,6.0,5.7,1.0,veterano,True
feminino,2021,8.1,4.7,nao,6.458,5.0,2022,6.802083333400001,4.3,5.8,-1.0,veterano,True
feminino,2021,7.2,5.3,nao,8.25,5.0,2022,7.937499999799999,2.7,6.0,-1.0,veterano,False
feminino,2021,8.3,5.0,nao,7.46,5.0,2023,8.125,3.3,3.8,-1.0,veterano,False
feminino,2018,9.1,6.9,nao,8.083,10.0,2022,8.21875,5.3,6.8,2.0,veterano,True
feminino,2018,7.3,5.8,nao,7.795,10.0,2023,8.125,7.0,4.5,1.0,veterano,True
masculino,2018,7.3,6.5,nao,7.208,5.0,2022,7.052083333400001,4.7,6.5,-2.0,veterano,False
masculino,2018,8.2,5.8,nao,6.9625,5.0,2023,6.875,6.0,4.2,-1.0,veterano,True
feminino,2017,9.8,7.6,nao,7.5,10.0,2022,7.875,5.3,7.8,0.0,veterano,False
feminino,2017,9.2,7.3,nao,7.795,10.0,2023,8.125,7.3,6.2,0.0,veterano,False
masculino,2020,9.0,8.1,nao,7.542,10.0,2022,7.895833333400001,7.0,7.2,0.0,veterano,False
masculino,2020,8.9,8.1,nao,7.4625,10.0,2023,8.4375,7.0,7.2,0.0,veterano,False
feminino,2018,9.7,7.9,nao,7.833,5.0,2022,7.541666666599999,9.3,8.0,-2.0,veterano,False
feminino,2018,9.9,7.9,nao,7.8375,5.0,2023,7.96875,8.3,7.2,-2.0,veterano,False
feminino,2018,8.3,5.9,nao,7.083,5.0,2022,7.3333333332,4.7,8.2,-1.0,veterano,False
masculino,2022,10.0,7.8,nao,8.292,5.0,2022,8.1979166666,9.0,6.5,-1.0,ingressante,False
feminino,2018,9.2,4.9,nao,5.792,10.0,2022,7.322916666599999,3.7,6.7,0.0,veterano,True
feminino,2018,8.9,7.2,nao,7.6725,5.0,2023,6.875,6.3,8.7,-2.0,veterano,False
masculino,2022,6.8,5.5,nao,6.875,5.0,2022,7.1541666666,3.0,8.0,-2.0,ingressante,False
masculino,2022,7.2,5.2,nao,6.755,5.0,2023,7.1875,4.5,4.8,-2.0,veterano,False
feminino,2018,8.9,7.3,sim,8.917,10.0,2022,8.3625,6.0,7.7,0.0,veterano,False
masculino,2019,9.2,7.9,sim,9.25,2.5,2022,7.46875,9.0,7.5,-3.0,veterano,False
masculino,2019,8.5,8.1,nao,7.8775,5.0,2023,8.125,9.0,6.2,-2.0,veterano,False
feminino,2019,6.2,4.4,nao,6.042,5.0,2022,6.81875,4.0,5.3,-1.0,veterano,True
feminino,2018,9.2,5.9,nao,5.833,5.0,2022,6.947916666599999,4.7,7.2,-1.0,veterano,False
feminino,2018,9.2,4.8,nao,7.085,5.0,2023,7.1875,5.0,5.0,-1.0,veterano,False
feminino,2018,9.1,6.9,sim,9.083,10.0,2022,8.322916666800001,5.1,6.8,0.0,veterano,False
feminino,2018,9.5,8.0,nao,9.0025,10.0,2023,8.125,7.3,7.3,0.0,veterano,False
feminino,2016,8.8,6.3,sim,8.458,10.0,2022,6.375,6.2,5.3,0.0,veterano,False
feminino,2016,8.7,5.9,nao,8.42,10.0,2023,7.65625,6.3,5.8,0.0,veterano,False
masculino,2022,9.2,6.1,nao,8.042,10.0,2022,7.75,3.7,6.7,0.0,ingressante,False
masculino,2022,9.4,6.4,nao,8.9225,10.0,2023,8.59375,8.7,6.3,0.0,veterano,False
masculino,2018,8.3,8.1,sim,8.625,10.0,2022,8.09375,7.7,8.3,0.0,veterano,False
masculino,2018,9.4,8.0,nao,8.92,10.0,2023,8.4375,8.3,7.3,1.0,veterano,False
feminino,2019,9.5,6.8,sim,8.458,10.0,2022,7.91875,6.8,7.3,0.0,veterano,False
feminino,2019,8.3,6.8,nao,8.2525,10.0,2023,7.96875,8.3,6.5,0.0,veterano,False
feminino,2022,8.8,3.8,nao,7.25,10.0,2022,7.68125,0.0,7.5,0.0,ingressante,True
feminino,2022,9.7,7.7,nao,8.795,5.0,2023,7.96875,7.0,8.0,-1.0,veterano,False
masculino,2019,7.7,7.2,nao,8.0,2.5,2022,7.75,5.0,7.3,-3.0,veterano,False
masculino,2019,9.5,7.1,nao,8.5025,10.0,2023,8.59375,7.3,6.3,1.0,veterano,False
feminino,2019,8.5,6.6,nao,7.5,10.0,2022,8.3645833334,6.0,5.7,0.0,veterano,False
feminino,2019,9.7,6.9,nao,8.46,10.0,2023,7.96875,6.8,7.0,0.0,veterano,False
feminino,2019,8.9,5.8,nao,7.917,10.0,2022,7.479166666599999,5.3,7.2,0.0,veterano,False
feminino,2019,9.9,6.9,nao,8.255,10.0,2023,7.96875,7.3,8.7,0.0,veterano,False
